index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
468	45	9.9667	1	-2	-5.09880	 7.13040
469	45	9.96708	2	-3	-6.19890	10.69000
470	45	9.9676	2	-4	-7.29890	14.24950
471	45	9.96825	2	-5	-8.39900	17.80890
472	45	9.96902	2	-5	-9.47080	21.27680
473	45	9.96995	3	-6	-10.57070	24.83580
474	45	9.97102	3	-7	-11.67060	28.39460
475	45	9.97222	3	-8	-12.77030	31.95300
476	45	9.97357	4	-9	-13.87000	35.51100
477	45	9.97505	4	-10	-14.96950	39.06870
478	45	9.97667	4	-11	-16.06880	42.62580
479	45	9.97843	4	-12	-17.16800	46.18240
480	45	9.98033	5	-13	-18.26700	49.73840
481	45	9.98237	5	-14	-19.36580	53.29370
482	45	9.98454	5	-15	-20.46440	56.84830
483	45	9.98686	6	-16	-21.56270	60.40220
484	45	9.98925	6	-16	-22.63270	63.86420
485	45	9.99184	6	-17	-23.73050	67.41650
486	45	9.99453	5	-19	-21.07210	72.12860
487	45	9.9918	5	-18	-19.97450	68.57730
488	45	9.98921	5	-17	-18.87670	65.02500
489	45	9.98676	5	-16	-17.77860	61.47190
490	45	9.98451	4	-15	-16.70840	58.00920
491	45	9.98233	4	-14	-15.60980	54.45450
492	45	9.9803	4	-13	-14.51100	50.89920
493	45	9.9784	3	-12	-13.41200	47.34320
494	45	9.97664	3	-11	-12.31280	43.78660
495	45	9.97502	3	-10	-11.21350	40.22950
496	45	9.97353	3	-9	-10.11400	36.67190
497	45	9.97219	2	-9	-9.01430	33.11380
498	45	9.97098	2	-8	-7.91460	29.55540
499	45	9.96992	2	-7	-6.81470	25.99660
500	45	9.96899	1	-6	-5.71480	22.43760
501	45	9.9682	1	-5	-4.61480	18.87840
502	45	9.96756	1	-4	-3.54290	15.41030
503	45	9.96705	1	-3	-2.44290	11.85080
504	45	9.96667	0	-2	-1.34280	 8.29120
505	45	9.96643	0	-1	-0.24270	 4.73170
506	45	9.96633	0	0	 0.85740	 1.17220
507	45	9.96636	0	1	 1.92930	-2.29590
508	45	9.96653	-1	2	 3.02930	-5.85520
509	45	9.96684	-1	2	 4.12920	-9.41420
510	45	9.96729	-1	3	 5.22910	-12.97290
511	45	9.96788	-2	4	 6.32880	-16.53130
512	45	9.9686	-2	5	 7.42840	-20.08940
513	45	9.96947	-2	6	 8.52800	-23.64700
514	45	9.97047	-2	7	 9.62730	-27.20410
515	45	9.97161	-3	8	10.72650	-30.76070
516	45	9.97289	-3	9	11.82550	-34.31670
517	45	9.9743	-3	10	12.92430	-37.87200
518	45	9.97586	-4	11	14.02290	-41.42670
519	45	9.97751	-4	12	15.09310	-44.88950
520	45	9.97933	-4	12	16.19120	-48.44260
521	45	9.9813	-4	13	17.28900	-51.99480
522	45	9.98341	-5	14	18.38660	-55.54610
523	45	9.98142	-5	13	21.04500	-50.83400
524	45	9.97946	-5	12	19.94720	-47.28170
525	45	9.97768	-5	11	18.87720	-43.81980
526	45	9.97598	-5	10	17.77890	-40.26590
527	45	9.97443	-4	9	16.68030	-36.71120
528	45	9.97301	-4	9	15.58150	-33.15590
529	45	9.97173	-4	8	14.48250	-29.59990
530	45	9.97059	-3	7	13.38330	-26.04330
531	45	9.96959	-3	6	12.28400	-22.48620
532	45	9.96873	-3	5	11.18450	-18.92860
533	45	9.968	-3	4	10.08480	-15.37050
534	45	9.96742	-2	3	 8.98510	-11.81210
535	45	9.96697	-2	2	 7.88520	-8.25340
536	45	9.96666	-2	1	 6.78530	-4.69430
537	45	9.96649	-1	0	 5.71350	-1.22640
538	45	9.96645	-1	-1	 4.61340	 2.33300
539	45	9.96655	-1	-2	 3.51330	 5.89250
540	45	9.96679	-1	-2	 2.41320	 9.45210
541	45	9.96717	0	-3	 1.31310	13.01160
542	45	9.96769	0	-4	 0.21310	16.57110
543	45	9.96832	0	-5	-0.85880	20.03920
544	45	9.96911	1	-6	-1.95880	23.59840
545	45	9.97004	1	-7	-3.05870	27.15750
546	45	9.97111	1	-8	-4.15860	30.71620
547	45	9.97231	1	-9	-5.25830	34.27460
548	45	9.97366	2	-10	-6.35800	37.83270
549	45	9.97514	2	-11	-7.45750	41.39030
550	45	9.97676	2	-12	-8.55680	44.94740
551	45	9.97852	2	-12	-9.65600	48.50400
552	45	9.98042	3	-13	-10.75500	52.06000
553	45	9.98245	3	-14	-11.85380	55.61530
554	45	9.98463	3	-15	-12.95240	59.17000
555	45	9.98688	4	-16	-14.02260	62.63280
556	45	9.98933	4	-17	-15.12070	66.18580
557	45	9.99192	4	-18	-16.21850	69.73810
558	45	9.9922	3	-18	-12.46260	70.89890
559	45	9.98961	3	-17	-11.36470	67.34660
560	45	9.98715	3	-16	-10.36290	63.76380
561	45	9.98485	2	-15	-9.16830	60.23960
562	45	9.98273	2	-15	-8.09790	56.77610
563	45	9.98069	2	-14	-6.99910	53.22080
564	45	9.9788	2	-13	-5.90010	49.66480
565	45	9.97704	1	-12	-4.80090	46.10820
566	45	9.97542	1	-11	-3.70150	42.55110
567	45	9.97393	1	-10	-2.60200	38.99350
568	45	9.97259	0	-9	-1.50240	35.43540
569	45	9.97138	0	-8	-0.40260	31.87700
570	45	9.97032	0	-7	 0.69720	28.31830
571	45	9.96939	0	-6	 1.79720	24.75920
572	45	9.9686	-1	-5	 2.89720	21.20000
573	45	9.96795	-1	-5	 3.99720	17.64060
574	45	9.96745	-1	-4	 5.06910	14.17240
575	45	9.96707	-2	-3	 6.16920	10.61290
576	45	9.96683	-2	-2	 7.26930	 7.05330
577	45	9.96673	-2	-1	 8.36940	 3.49380
578	45	9.96676	-2	0	 9.46940	-0.06560
579	45	9.96693	-3	1	10.54120	-3.53350
580	45	9.96724	-3	2	11.64120	-7.09260
581	45	9.96769	-3	3	12.74100	-10.65130
582	45	9.96828	-4	4	13.84080	-14.20970
583	45	9.969	-4	5	14.94040	-17.76780
584	45	9.96987	-4	5	16.03990	-21.32540
585	45	9.97084	-4	6	17.11110	-24.79130
586	45	9.97201	-5	7	18.23840	-28.43910
587	45	9.97329	-5	8	19.33740	-31.99510
588	45	9.9747	-5	9	20.43620	-35.55040
589	45	9.97626	-6	10	21.53480	-39.10510
590	45	9.97795	-6	11	22.63320	-42.65900
591	45	9.97974	-6	12	23.70310	-46.12090
592	45	9.9817	-6	13	24.80100	-49.67320
593	45	9.98214	-7	12	28.55680	-48.51240
594	45	9.98022	-7	12	27.48710	-45.05130
595	45	9.97839	-7	11	26.38900	-41.49820
596	45	9.97665	-6	10	25.26250	-37.85320
597	45	9.97509	-6	9	24.06760	-34.32830
598	45	9.97372	-6	8	23.09330	-30.83430
599	45	9.97241	-6	7	21.96610	-27.18710
600	45	9.9713	-5	6	20.89510	-23.72170
601	45	9.9703	-5	5	19.79570	-20.16460
602	45	9.96942	-5	4	18.59990	-16.63680
603	45	9.96871	-5	3	17.59660	-13.04900
604	45	9.96812	-4	2	16.49680	-9.49050
605	45	9.96767	-4	2	15.39700	-5.93180
606	45	9.96736	-4	1	14.22900	-2.49380
607	45	9.96718	-3	0	13.12900	 1.06540
608	45	9.96716	-3	-1	12.12520	 4.65460
609	45	9.96726	-3	-2	11.02510	 8.21410
610	45	9.9675	-3	-3	 9.92500	11.77360
611	45	9.96788	-2	-4	 8.82490	15.33320
612	45	9.96838	-2	-5	 7.62850	18.86290
613	45	9.96903	-2	-6	 6.65300	22.36080
614	45	9.96982	-1	-7	 5.55300	25.92000
615	45	9.97077	-1	-8	 4.42490	29.57030
616	45	9.97184	-1	-9	 3.32500	33.12900
617	45	9.97304	-1	-9	 2.12900	36.65770
618	45	9.97436	0	-10	 1.15380	40.15420
619	45	9.97585	0	-11	 0.05430	43.71180
620	45	9.97747	0	-12	-1.04500	47.26900
621	45	9.97923	1	-13	-2.14420	50.82560
